dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,poprisk_regions_0.5_updated_r2_mean,poprisk_regions_0.5_updated_r2_std,poprisk_regions_0.5_delta_r2_mean,poprisk_regions_0.5_delta_r2_se
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,200,1000,10.0,0.13,0.0,0.16,0.02,0.03,0.007938160996099786,0.18,0.02,0.05,0.01114342855677731
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,300,1000,10.0,0.13,0.0,0.17,0.02,0.03,0.011745228818545853,0.22,0.0,0.09,0.002207849632561058
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,400,1000,10.0,0.13,0.0,0.16,0.01,0.03,0.007426614302628078,0.23,0.01,0.1,0.0039016150502067717
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,500,1000,10.0,0.13,0.0,0.16,0.01,0.03,0.006898883967715362,0.22,0.03,0.08,0.015174340183348992
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,600,1000,10.0,0.13,0.0,0.17,0.02,0.04,0.009345822596219125,0.23,0.01,0.1,0.00617943363100535
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,700,1000,10.0,0.13,0.0,0.18,0.02,0.05,0.00890550391611839,0.24,0.01,0.11,0.0058877330102510604
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,800,1000,10.0,0.13,0.0,0.18,0.02,0.05,0.007683527835571365,0.24,0.01,0.11,0.004788277352033821
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,900,1000,10.0,0.13,0.0,0.18,0.01,0.05,0.006532197180122477,0.25,0.0,0.12,0.0014957941034781524
TOGO_PH_H2O,2_strata_desired_25ppc_1000_size,cluster_based_c1_25_c2_35,1000,1000,10.0,0.13,0.0,0.19,0.01,0.05,0.006175726677889816,0.25,0.01,0.11,0.0068088618725892745
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,100,2000,10.0,0.18,0.0,0.16,0.04,-0.02,0.022058499495659262,0.2,0.0,0.01,0.0018537529500988
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,200,2000,10.0,0.18,0.0,0.14,0.06,-0.04,0.02905626610560965,0.19,0.04,0.01,0.01880487702698425
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,300,2000,10.0,0.18,0.0,0.19,0.01,0.01,0.003305964307127346,0.22,0.0,0.04,0.0018968394766031185
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,400,2000,10.0,0.18,0.0,0.13,0.06,-0.06,0.027615531861617297,0.23,0.0,0.04,0.0022535305633605246
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,500,2000,10.0,0.18,0.0,0.18,0.03,-0.01,0.017157779576623542,0.22,0.02,0.04,0.012243790262823032
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,600,2000,10.0,0.18,0.0,0.19,0.01,0.01,0.0038599740931773126,0.22,0.02,0.04,0.007762319241051609
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,700,2000,10.0,0.18,0.0,0.19,0.01,0.01,0.004192660253347511,0.23,0.01,0.04,0.005313793371970722
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,800,2000,10.0,0.18,0.0,0.2,0.01,0.01,0.00444416471341916,0.22,0.01,0.04,0.004471196707817717
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,900,2000,10.0,0.18,0.0,0.2,0.01,0.01,0.004655899483451077,0.24,0.02,0.05,0.008136215336383371
TOGO_PH_H2O,2_strata_desired_25ppc_2000_size,cluster_based_c1_25_c2_35,1000,2000,10.0,0.18,0.0,0.18,0.04,-0.0,0.01789503841851143,0.26,0.0,0.07,0.0013969251948475973
